,Year,County.Landed,Pounds
1,1986,DIXIE,844161
2,1987,DIXIE,413221
3,1988,DIXIE,420268
4,1989,DIXIE,569414
5,1990,DIXIE,263645
6,1991,DIXIE,118035
7,1992,DIXIE,28123
8,1993,DIXIE,7213
9,1994,DIXIE,29055
10,1995,DIXIE,7880
11,1996,DIXIE,12473
12,1997,DIXIE,26309
13,1998,DIXIE,7893
14,1999,DIXIE,739
15,2000,DIXIE,1065
16,2001,DIXIE,443
17,2002,DIXIE,163
18,2003,DIXIE,20
19,2004,DIXIE,NA
20,2005,DIXIE,NA
21,2006,DIXIE,NA
22,2007,DIXIE,788
23,2008,DIXIE,NA
24,2009,DIXIE,NA
25,2010,DIXIE,8
26,2011,DIXIE,6126
27,2012,DIXIE,25722
28,2013,DIXIE,63630
29,2014,DIXIE,20119
30,2015,DIXIE,83963
31,2016,DIXIE,155616
32,2017,DIXIE,188364
33,2018,DIXIE,30086