Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1986,BAY,OYSTERS,79767,1391,1.98,158258
1986,BREVARD,OYSTERS,60525,102,2.7,163680
1986,CITRUS,OYSTERS,43792,605,1.99,87061
1986,DIXIE,OYSTERS,844161,3931,0.87,736789
1986,DUVAL,OYSTERS,24590,131,1.98,48655
1986,ESCAMBIA,OYSTERS,8766,13,0.53,4614
1986,FRANKLIN,OYSTERS,472625,6166,1.91,903893
1986,GULF,OYSTERS,12338,287,1.98,24478
1986,INDIAN RIVER,OYSTERS,551,15,1.98,1094
1986,Inland/Out-of-State,OYSTERS,8601,140,2.02,17377
1986,LEE,OYSTERS,2349,31,1.98,4661
1986,LEVY,OYSTERS,233326,2706,1.99,464297
1986,OKALOOSA,OYSTERS,118,1,1.98,234
1986,SANTA ROSA,OYSTERS,243917,1577,0.96,235193
1986,SARASOTA,OYSTERS,103,1,0.22,23
1986,ST JOHNS,OYSTERS,2568,57,1.21,3101
1986,TAYLOR,OYSTERS,2183,19,1.96,4283
1986,VOLUSIA,OYSTERS,20993,400,1.99,41698
1986,WAKULLA,OYSTERS,135549,738,0.92,124769
1986,WALTON,OYSTERS,4185,124,1.94,8135
1987,BAY,OYSTERS,176645,2488,1.87,330057
1987,BREVARD,OYSTERS,11363,59,1.94,22052
1987,CITRUS,OYSTERS,16003,341,1.86,29783
1987,DIXIE,OYSTERS,413221,5675,1.82,750147
1987,DUVAL,OYSTERS,23090,80,1.77,40772
1987,ESCAMBIA,OYSTERS,1584,21,1.83,2904
1987,FRANKLIN,OYSTERS,2781224,37506,1.86,5159864
1987,GULF,OYSTERS,28973,594,1.87,54216
1987,INDIAN RIVER,OYSTERS,1175,57,1.87,2198
1987,LEE,OYSTERS,96,5,1.87,180
1987,LEVY,OYSTERS,83302,1451,1.83,152516
1987,MANATEE,OYSTERS,18,1,1.87,33
1987,MONROE,OYSTERS,315,1,1.87,589
1987,OKALOOSA,OYSTERS,39,2,1.87,74
1987,SANTA ROSA,OYSTERS,61458,1320,1.77,108530
1987,ST JOHNS,OYSTERS,30232,480,1.85,56037
1987,ST LUCIE,OYSTERS,98,1,1.87,184
1987,TAYLOR,OYSTERS,10543,172,1.87,19682
1987,VOLUSIA,OYSTERS,43435,803,1.88,81852
1987,WAKULLA,OYSTERS,108192,1504,1.86,201186
1987,WALTON,OYSTERS,742,31,1.91,1420
1988,BAY,OYSTERS,120489,2576,2.02,243058
1988,BREVARD,OYSTERS,6527,77,2.13,13933
1988,CITRUS,OYSTERS,12591,342,1.41,17772
1988,COLLIER,OYSTERS,26,1,1.98,52
1988,DIXIE,OYSTERS,420268,6495,1.89,794511
1988,DUVAL,OYSTERS,20993,308,1.82,38110
1988,ESCAMBIA,OYSTERS,293,6,1.22,358
1988,FRANKLIN,OYSTERS,1267381,29520,1.76,2225546
1988,GULF,OYSTERS,25804,726,2.2,56648
1988,INDIAN RIVER,OYSTERS,424,15,2.14,907
1988,Inland/Out-of-State,OYSTERS,124,5,1.43,177
1988,LEE,OYSTERS,197,6,2.2,432
1988,LEVY,OYSTERS,84960,1356,1.72,146179
1988,MONROE,OYSTERS,368,1,1.98,727
1988,OKALOOSA,OYSTERS,1368,29,1.69,2308
1988,SANTA ROSA,OYSTERS,57006,1184,1.26,71801
1988,ST JOHNS,OYSTERS,73736,1014,2.15,158462
1988,TAYLOR,OYSTERS,427,16,2.09,892
1988,VOLUSIA,OYSTERS,49967,841,2.16,107794
1988,WAKULLA,OYSTERS,45314,980,2.17,98237
1988,WALTON,OYSTERS,3832,90,2.19,8401
1989,BAY,OYSTERS,59896,1516,2.23,133563
1989,BREVARD,OYSTERS,2902,80,2.04,5918
1989,CITRUS,OYSTERS,3752,129,2.48,9309
1989,COLLIER,OYSTERS,46,1,2.74,126
1989,DIXIE,OYSTERS,569414,8798,2.3,1311172
1989,DUVAL,OYSTERS,20232,340,1.8,36500
1989,ESCAMBIA,OYSTERS,46,1,2.74,125
1989,FRANKLIN,OYSTERS,822332,21432,2.3,1890711
1989,GULF,OYSTERS,6758,295,2.24,15170
1989,INDIAN RIVER,OYSTERS,361,6,1.93,697
1989,Inland/Out-of-State,OYSTERS,308,6,1.99,615
1989,LEE,OYSTERS,433,15,1.93,837
1989,LEVY,OYSTERS,159213,2678,2.26,360374
1989,OKALOOSA,OYSTERS,20,1,1.93,38
1989,PALM BEACH,OYSTERS,7,1,2.74,19
1989,SANTA ROSA,OYSTERS,20134,417,2.47,49659
1989,ST JOHNS,OYSTERS,94916,1064,1.94,184005
1989,ST LUCIE,OYSTERS,46,2,2.73,125
1989,VOLUSIA,OYSTERS,41632,828,1.94,80624
1989,WAKULLA,OYSTERS,53173,890,1.97,104878
1989,WALTON,OYSTERS,2133,67,1.93,4122
1990,BAY,OYSTERS,107679,1765,2.75,296227
1990,BREVARD,OYSTERS,4550,87,2.27,10328
1990,CITRUS,OYSTERS,5758,132,2.5,14400
1990,DIXIE,OYSTERS,263645,5605,2.72,717516
1990,DUVAL,OYSTERS,17956,333,2.27,40672
1990,FRANKLIN,OYSTERS,1496427,26842,2.51,3758635
1990,GULF,OYSTERS,28252,247,2.56,72266
1990,Inland/Out-of-State,OYSTERS,650,2,2.31,1503
1990,LEE,OYSTERS,7,1,2.27,15
1990,LEVY,OYSTERS,104132,3060,2.48,258628
1990,SARASOTA,OYSTERS,2953,4,2.27,6692
1990,ST JOHNS,OYSTERS,108323,1379,2.31,250334
1990,VOLUSIA,OYSTERS,64893,1359,2.25,146230
1990,WAKULLA,OYSTERS,38904,626,2.34,91114
1990,WALTON,OYSTERS,6346,104,2.27,14383
1991,BAY,OYSTERS,287041,4758,2.15,617317
1991,BREVARD,OYSTERS,9092,37,2.96,26924
1991,CITRUS,OYSTERS,3738,91,2.14,7984
1991,DIXIE,OYSTERS,118035,2215,2.1,248346
1991,DUVAL,OYSTERS,722,12,1.39,1002
1991,FRANKLIN,OYSTERS,1262399,23825,1.72,2170884
1991,GULF,OYSTERS,7718,245,1.39,10713
1991,Inland/Out-of-State,OYSTERS,223,1,1.39,310
1991,LEE,OYSTERS,14,2,1.43,20
1991,LEVY,OYSTERS,34936,999,1.71,59782
1991,OKALOOSA,OYSTERS,34,2,2.91,99
1991,SANTA ROSA,OYSTERS,9000,103,2.21,19886
1991,ST JOHNS,OYSTERS,86765,1472,1.45,125974
1991,VOLUSIA,OYSTERS,28574,574,1.39,39801
1991,WAKULLA,OYSTERS,62007,833,1.57,97343
1991,WALTON,OYSTERS,7357,125,1.59,11683
1992,BAY,OYSTERS,431815,5707,1.31,565799
1992,BREVARD,OYSTERS,178,8,1.54,274
1992,CITRUS,OYSTERS,1235,28,1.31,1622
1992,DIXIE,OYSTERS,28123,626,1.44,40361
1992,DUVAL,OYSTERS,2776,62,1.42,3947
1992,ESCAMBIA,OYSTERS,6612,57,1.3,8564
1992,FRANKLIN,OYSTERS,1859805,27103,1.37,2546362
1992,GULF,OYSTERS,5394,141,1.42,7669
1992,INDIAN RIVER,OYSTERS,33,1,1.42,47
1992,LEVY,OYSTERS,62791,1306,1.4,88191
1992,SANTA ROSA,OYSTERS,78827,867,1.32,103688
1992,ST JOHNS,OYSTERS,77679,1560,1.42,110281
1992,TAYLOR,OYSTERS,85,1,1.42,121
1992,VOLUSIA,OYSTERS,29753,599,1.41,41876
1992,WAKULLA,OYSTERS,36782,432,1.44,53145
1992,WALTON,OYSTERS,6254,120,2.12,13283
1993,BAY,OYSTERS,469920,4650,1.04,490281
1993,BREVARD,OYSTERS,1749,14,1.09,1912
1993,CITRUS,OYSTERS,674,17,1.08,728
1993,DIXIE,OYSTERS,7213,148,1.2,8682
1993,ESCAMBIA,OYSTERS,11176,95,1.09,12187
1993,FRANKLIN,OYSTERS,2019899,24685,1.24,2513256
1993,GULF,OYSTERS,2753,65,1.39,3827
1993,INDIAN RIVER,OYSTERS,33,1,2.74,90
1993,LEVY,OYSTERS,61679,1027,1.39,85610
1993,MARTIN,OYSTERS,247,3,1.38,340
1993,PINELLAS,OYSTERS,394,5,1.53,603
1993,SANTA ROSA,OYSTERS,74580,719,1.19,88467
1993,ST JOHNS,OYSTERS,71951,1344,1.43,102945
1993,VOLUSIA,OYSTERS,14834,290,1.47,21814
1993,WAKULLA,OYSTERS,46467,368,1.38,64229
1993,WALTON,OYSTERS,5026,74,1.91,9611
1994,BAY,OYSTERS,314053,3113,1.08,337800
1994,BREVARD,OYSTERS,16472,7,2.16,35635
1994,DIXIE,OYSTERS,29055,315,1.41,41044
1994,ESCAMBIA,OYSTERS,578,4,1.14,660
1994,FRANKLIN,OYSTERS,1477994,17312,1.28,1895389
1994,GULF,OYSTERS,2527,64,1.39,3519
1994,INDIAN RIVER,OYSTERS,145,3,1.14,166
1994,LEVY,OYSTERS,73956,1341,1.47,108692
1994,PINELLAS,OYSTERS,20,1,2.44,48
1994,SANTA ROSA,OYSTERS,56390,349,1.05,59024
1994,ST JOHNS,OYSTERS,62297,1261,1.5,93295
1994,TAYLOR,OYSTERS,571,8,1.57,895
1994,VOLUSIA,OYSTERS,21255,272,1.77,37563
1994,WAKULLA,OYSTERS,51826,454,1.35,70036
1994,WALTON,OYSTERS,2973,36,1.78,5302
1995,BAY,OYSTERS,316272,3269,1.08,340947
1995,BREVARD,OYSTERS,1876,18,1.29,2416
1995,CITRUS,OYSTERS,85,1,1.43,122
1995,DIXIE,OYSTERS,7880,131,1.58,12429
1995,FRANKLIN,OYSTERS,1031043,12731,1.22,1261328
1995,GULF,OYSTERS,2273,54,1.46,3316
1995,LEVY,OYSTERS,52424,888,1.58,82813
1995,PINELLAS,OYSTERS,276,5,1.92,528
1995,SANTA ROSA,OYSTERS,42,1,1.52,64
1995,ST JOHNS,OYSTERS,42395,815,1.7,72192
1995,VOLUSIA,OYSTERS,14173,250,1.9,26922
1995,WAKULLA,OYSTERS,42492,405,1.4,59586
1995,WALTON,OYSTERS,1314,19,2.13,2793
1996,BAY,OYSTERS,308557,3004,1.17,360351
1996,BREVARD,OYSTERS,112,4,2.7,303
1996,CITRUS,OYSTERS,610,10,2.13,1300
1996,DIXIE,OYSTERS,12473,173,1.58,19661
1996,FRANKLIN,OYSTERS,978791,10481,1.34,1309367
1996,GULF,OYSTERS,1759,26,1.52,2680
1996,INDIAN RIVER,OYSTERS,46,2,3.66,168
1996,LEVY,OYSTERS,60962,873,1.71,104041
1996,SANTA ROSA,OYSTERS,852,5,1.52,1299
1996,ST JOHNS,OYSTERS,21214,491,2.48,52584
1996,VOLUSIA,OYSTERS,16376,368,2.09,34161
1996,WAKULLA,OYSTERS,45341,410,1.53,69565
1996,WALTON,OYSTERS,324,6,2.13,690
1997,BAY,OYSTERS,307145,3122,1.2,367324
1997,BREVARD,OYSTERS,1020,13,2.42,2471
1997,CITRUS,OYSTERS,1710,30,1.99,3394
1997,DIXIE,OYSTERS,26309,375,1.72,45296
1997,ESCAMBIA,OYSTERS,885,15,1.63,1440
1997,FRANKLIN,OYSTERS,1417791,15518,1.49,2113820
1997,GULF,OYSTERS,3137,36,1.53,4786
1997,LEVY,OYSTERS,61225,960,1.67,101940
1997,SANTA ROSA,OYSTERS,18686,142,1.52,28473
1997,ST JOHNS,OYSTERS,22382,430,2.63,58833
1997,TAYLOR,OYSTERS,116,1,1.25,144
1997,VOLUSIA,OYSTERS,14048,338,2.26,31782
1997,WAKULLA,OYSTERS,24209,220,1.66,40144
1997,WALTON,OYSTERS,276,4,2.35,648
1998,BAY,OYSTERS,12871,164,2.08,26738
1998,BREVARD,OYSTERS,20,2,2.03,42
1998,CITRUS,OYSTERS,2312,46,1.94,4478
1998,DIXIE,OYSTERS,7893,120,1.71,13522
1998,DUVAL,OYSTERS,125,2,2.44,304
1998,ESCAMBIA,OYSTERS,1822,15,1.68,3054
1998,FRANKLIN,OYSTERS,1382233,16106,1.58,2179612
1998,GULF,OYSTERS,1339,27,1.8,2409
1998,LEVY,OYSTERS,55828,842,1.55,86364
1998,SANTA ROSA,OYSTERS,13589,148,1.52,20707
1998,ST JOHNS,OYSTERS,28441,603,2.58,73450
1998,VOLUSIA,OYSTERS,12188,347,1.94,23657
1998,WAKULLA,OYSTERS,14071,145,1.83,25698
1998,WALTON,OYSTERS,53,2,3.05,160
1999,BAY,OYSTERS,28,2,3.52,100
1999,CITRUS,OYSTERS,1186,28,1.98,2350
1999,DIXIE,OYSTERS,739,12,1.67,1236
1999,ESCAMBIA,OYSTERS,2052,29,1.69,3475
1999,FRANKLIN,OYSTERS,2120950,24346,1.56,3301549
1999,GULF,OYSTERS,1674,24,1.52,2550
1999,LEVY,OYSTERS,136002,1728,1.54,209473
1999,PUTNAM,OYSTERS,427,15,2.44,1040
1999,SANTA ROSA,OYSTERS,13688,141,1.66,22671
1999,ST JOHNS,OYSTERS,31222,648,2.78,86881
1999,VOLUSIA,OYSTERS,8584,239,1.92,16455
1999,WAKULLA,OYSTERS,15166,164,1.78,27032
2000,BAY,OYSTERS,182,7,1.79,326
2000,BREVARD,OYSTERS,191,4,2.13,408
2000,CITRUS,OYSTERS,79,4,2.03,160
2000,DIXIE,OYSTERS,1065,24,1.79,1904
2000,ESCAMBIA,OYSTERS,5640,58,1.47,8307
2000,FRANKLIN,OYSTERS,2327397,25267,1.5,3495765
2000,GULF,OYSTERS,3262,33,1.52,4970
2000,LEVY,OYSTERS,121072,1883,1.77,214571
2000,PUTNAM,OYSTERS,466,16,2.44,1136
2000,SANTA ROSA,OYSTERS,35290,238,1.47,51956
2000,ST JOHNS,OYSTERS,40033,813,2.88,115149
2000,VOLUSIA,OYSTERS,10986,204,1.87,20505
2000,WAKULLA,OYSTERS,24567,211,1.75,43029
2001,BAY,OYSTERS,164,6,2.15,353
2001,BREVARD,OYSTERS,91,1,1.6,145
2001,DIXIE,OYSTERS,443,13,1.99,881
2001,ESCAMBIA,OYSTERS,3744,31,1.95,7285
2001,FRANKLIN,OYSTERS,2333963,25279,1.48,3453029
2001,GULF,OYSTERS,1634,26,1.52,2490
2001,LEVY,OYSTERS,77564,1207,1.9,147456
2001,OKALOOSA,OYSTERS,737,4,1.65,1219
2001,SANTA ROSA,OYSTERS,56579,617,1.58,89544
2001,ST JOHNS,OYSTERS,29540,628,2.83,83533
2001,VOLUSIA,OYSTERS,7101,156,1.9,13488
2001,WAKULLA,OYSTERS,71155,598,1.71,121584
2002,BREVARD,OYSTERS,63,1,1.3,82
2002,DIXIE,OYSTERS,163,3,2.11,345
2002,ESCAMBIA,OYSTERS,25,1,1.75,45
2002,FRANKLIN,OYSTERS,1725772,20215,1.59,2750761
2002,GULF,OYSTERS,1943,35,1.52,2960
2002,LEVY,OYSTERS,89127,1351,1.81,161164
2002,SANTA ROSA,OYSTERS,25956,290,1.7,44105
2002,ST JOHNS,OYSTERS,28735,683,2.87,82516
2002,VOLUSIA,OYSTERS,8186,185,2.2,17989
2002,WAKULLA,OYSTERS,55465,436,1.71,94916
2003,BAY,OYSTERS,112192,1318,1.88,210919
2003,DIXIE,OYSTERS,20,1,2.59,51
2003,ESCAMBIA,OYSTERS,2044,25,1.63,3321
2003,FRANKLIN,OYSTERS,1450908,18325,1.64,2375958
2003,GULF,OYSTERS,604,14,1.52,920
2003,LEVY,OYSTERS,77263,1265,1.94,149928
2003,SANTA ROSA,OYSTERS,18107,189,1.63,29581
2003,ST JOHNS,OYSTERS,30022,729,2.95,88470
2003,VOLUSIA,OYSTERS,9762,244,1.82,17718
2003,WAKULLA,OYSTERS,33742,187,1.85,62272
2004,BAY,OYSTERS,45186,512,1.79,80857
2004,FRANKLIN,OYSTERS,1504180,17721,1.75,2632700
2004,GULF,OYSTERS,315,5,1.52,480
2004,LEVY,OYSTERS,54598,872,1.9,103875
2004,SANTA ROSA,OYSTERS,5385,54,1.83,9856
2004,ST JOHNS,OYSTERS,34758,834,2.98,103427
2004,VOLUSIA,OYSTERS,6175,162,2.11,13055
2004,WAKULLA,OYSTERS,19931,112,1.84,36592
2005,BAY,OYSTERS,3102,36,2.07,6406
2005,BREVARD,OYSTERS,486,6,3.05,1480
2005,CITRUS,OYSTERS,175,5,3.18,556
2005,FRANKLIN,OYSTERS,1261618,12671,1.98,2493735
2005,GULF,OYSTERS,1739,20,3.05,5300
2005,LEVY,OYSTERS,120342,1187,2.33,280499
2005,SANTA ROSA,OYSTERS,1647,22,2.13,3514
2005,ST JOHNS,OYSTERS,37619,855,3.38,126983
2005,ST LUCIE,OYSTERS,295,3,2.59,765
2005,VOLUSIA,OYSTERS,532,7,2.82,1498
2005,WAKULLA,OYSTERS,27473,260,2.39,65661
2006,BAY,OYSTERS,11004,131,2.4,26457
2006,BREVARD,OYSTERS,617,17,3.21,1980
2006,CITRUS,OYSTERS,87,2,2.67,231
2006,FRANKLIN,OYSTERS,2127044,22644,2.26,4802291
2006,GULF,OYSTERS,1175,29,2.26,2652
2006,LEVY,OYSTERS,178436,2063,2.24,398811
2006,SANTA ROSA,OYSTERS,6014,99,2.63,15826
2006,ST JOHNS,OYSTERS,52531,993,3.56,186802
2006,TAYLOR,OYSTERS,115,1,2.44,280
2006,VOLUSIA,OYSTERS,1906,46,3.04,5789
2006,WAKULLA,OYSTERS,65891,371,2.43,159805
2006,WALTON,OYSTERS,63,1,2.29,144
2007,BAY,OYSTERS,1092,16,2.71,2958
2007,BREVARD,OYSTERS,402,9,3.13,1258
2007,DIXIE,OYSTERS,788,3,3.31,2610
2007,FRANKLIN,OYSTERS,2701362,29478,2.23,6018891
2007,GULF,OYSTERS,2100,47,2.2,4615
2007,LEVY,OYSTERS,187883,2213,2.26,425053
2007,SANTA ROSA,OYSTERS,13630,178,2.5,34080
2007,ST JOHNS,OYSTERS,30566,721,3.72,113685
2007,VOLUSIA,OYSTERS,2216,66,3.23,7161
2007,WAKULLA,OYSTERS,87276,459,2.44,212682
2007,WALTON,OYSTERS,860,8,2.29,1967
2008,BAY,OYSTERS,9806,140,2.29,22410
2008,BREVARD,OYSTERS,138,6,3.08,425
2008,CITRUS,OYSTERS,165,1,2.29,377
2008,FRANKLIN,OYSTERS,2262591,27703,2.18,4939387
2008,GULF,OYSTERS,2093,38,2.29,4785
2008,Inland/Out-of-State,OYSTERS,46,1,2.44,112
2008,LEVY,OYSTERS,128169,2040,2.15,275822
2008,SANTA ROSA,OYSTERS,18935,167,2.21,41809
2008,ST JOHNS,OYSTERS,50016,1024,3.7,185077
2008,VOLUSIA,OYSTERS,3252,70,2.63,8552
2008,WAKULLA,OYSTERS,82106,385,2.35,192599
2008,WALTON,OYSTERS,4836,30,2.29,11053
2009,BAY,OYSTERS,14091,182,2.52,35522
2009,ESCAMBIA,OYSTERS,748,10,3.09,2311
2009,FRANKLIN,OYSTERS,2695690,39942,2.43,6551027
2009,GULF,OYSTERS,6631,80,3.15,20884
2009,LEVY,OYSTERS,63265,1162,2.2,139082
2009,SANTA ROSA,OYSTERS,44926,330,2.03,91423
2009,ST JOHNS,OYSTERS,40277,884,3.55,143052
2009,VOLUSIA,OYSTERS,276,9,4.17,1150
2009,WAKULLA,OYSTERS,46462,355,2.59,120361
2009,WALTON,OYSTERS,3063,30,2.3,7051
2010,BAY,OYSTERS,9096,138,2.85,25925
2010,BREVARD,OYSTERS,46,2,2.29,105
2010,DIXIE,OYSTERS,8,1,2.67,21
2010,FLAGLER,OYSTERS,62,1,2.74,171
2010,FRANKLIN,OYSTERS,1947199,32518,2.93,5698864
2010,GULF,OYSTERS,24136,301,3.07,74056
2010,LEVY,OYSTERS,58886,912,2.56,150978
2010,SANTA ROSA,OYSTERS,46302,438,2.53,117265
2010,ST JOHNS,OYSTERS,46084,1000,3.78,174239
2010,VOLUSIA,OYSTERS,663,23,3.69,2446
2010,WAKULLA,OYSTERS,77772,751,2.96,230226
2010,WALTON,OYSTERS,74,1,2.82,208
2011,BAY,OYSTERS,41203,423,3.26,134272
2011,DIXIE,OYSTERS,6126,51,2.08,12763
2011,FRANKLIN,OYSTERS,2812467,46503,2.78,7816559
2011,GULF,OYSTERS,34,1,2.73,93
2011,Inland/Out-of-State,OYSTERS,210,1,4.27,896
2011,LEE,OYSTERS,598,16,3.16,1888
2011,LEVY,OYSTERS,141294,1583,2.39,337673
2011,SANTA ROSA,OYSTERS,19891,380,3.13,62189
2011,ST JOHNS,OYSTERS,61476,1041,3.69,226902
2011,ST LUCIE,OYSTERS,7,1,4.57,30
2011,VOLUSIA,OYSTERS,7954,170,3.83,30496
2011,WAKULLA,OYSTERS,87950,1188,2.85,250486
2012,BAY,OYSTERS,66469,997,3.59,238642
2012,BREVARD,OYSTERS,288,10,3.81,1097
2012,DIXIE,OYSTERS,25722,263,2.86,73661
2012,FRANKLIN,OYSTERS,3037217,53921,2.93,8897465
2012,LEE,OYSTERS,686,15,3.37,2315
2012,LEVY,OYSTERS,143407,1765,2.71,389085
2012,PUTNAM,OYSTERS,36,1,3.81,138
2012,SANTA ROSA,OYSTERS,7531,265,3.82,28748
2012,ST JOHNS,OYSTERS,55660,1053,3.78,210387
2012,VOLUSIA,OYSTERS,20282,472,3.73,75560
2012,WAKULLA,OYSTERS,51606,582,2.91,150092
2013,BAY,OYSTERS,18413,476,4.63,85228
2013,BREVARD,OYSTERS,434,15,3.81,1652
2013,DIXIE,OYSTERS,63630,716,3.48,221477
2013,FRANKLIN,OYSTERS,1065811,25964,4.61,4912392
2013,LEVY,OYSTERS,86949,1341,3.69,321068
2013,SANTA ROSA,OYSTERS,1141,44,4.57,5216
2013,ST JOHNS,OYSTERS,35221,955,4.23,149036
2013,VOLUSIA,OYSTERS,10029,317,4.24,42568
2013,WAKULLA,OYSTERS,8842,156,4.62,40881
2014,BAY,OYSTERS,19089,541,7.42,141713
2014,BREVARD,OYSTERS,515,24,5.12,2640
2014,CHARLOTTE,OYSTERS,36,1,8.38,303
2014,CITRUS,OYSTERS,29,1,5.71,165
2014,DIXIE,OYSTERS,20119,313,4.67,93896
2014,FRANKLIN,OYSTERS,608538,18515,5.55,3376427
2014,INDIAN RIVER,OYSTERS,20,1,6.1,120
2014,LEE,OYSTERS,1040,39,4.05,4218
2014,LEVY,OYSTERS,45609,935,5.4,246082
2014,PUTNAM,OYSTERS,26,1,4.57,120
2014,SANTA ROSA,OYSTERS,2201,75,4.57,10060
2014,ST JOHNS,OYSTERS,46062,1169,4.66,214845
2014,VOLUSIA,OYSTERS,10066,266,4.54,45717
2014,WAKULLA,OYSTERS,447,13,5.33,2383
2015,BAY,OYSTERS,53510,1188,5.51,294574
2015,CITRUS,OYSTERS,2412,39,6.1,14700
2015,DIXIE,OYSTERS,83963,1101,5.19,435476
2015,FRANKLIN,OYSTERS,518204,18317,5.81,3009159
2015,LEE,OYSTERS,4062,116,5.12,20796
2015,LEVY,OYSTERS,126037,2588,4.91,618793
2015,SANTA ROSA,OYSTERS,1113,39,4.57,5087
2015,ST JOHNS,OYSTERS,48582,1158,4.99,242400
2015,VOLUSIA,OYSTERS,8558,353,4.79,41028
2016,BAY,OYSTERS,75865,1773,5.69,432050
2016,BREVARD,OYSTERS,56,1,5.32,300
2016,CITRUS,OYSTERS,120,3,6.26,755
2016,DIXIE,OYSTERS,155616,2386,5.47,850971
2016,FRANKLIN,OYSTERS,374051,16462,6.94,2595146
2016,Inland/Out-of-State,OYSTERS,125,6,7.31,912
2016,LEE,OYSTERS,4666,134,5.59,26098
2016,LEVY,OYSTERS,218550,3827,5.04,1101893
2016,SANTA ROSA,OYSTERS,2189,65,4.42,9678
2016,ST JOHNS,OYSTERS,50308,1042,5.21,261984
2016,VOLUSIA,OYSTERS,267,12,4.66,1242
2017,BAY,OYSTERS,17267,515,7.71,133121
2017,CITRUS,OYSTERS,605,14,6.57,3976
2017,DIXIE,OYSTERS,188364,3075,5.89,1108789
2017,FRANKLIN,OYSTERS,263150,14093,8.04,2115318
2017,LEE,OYSTERS,5494,206,5.7,31326
2017,LEVY,OYSTERS,282054,4600,4.94,1392970
2017,SANTA ROSA,OYSTERS,2839,79,4.57,12978
2017,ST JOHNS,OYSTERS,32528,752,5.25,170811
2017,VOLUSIA,OYSTERS,718,15,5.54,3980
2018,BAY,OYSTERS,16,1,8.91,147
2018,CITRUS,OYSTERS,323,8,6.81,2197
2018,DIXIE,OYSTERS,30086,412,6.25,187897
2018,FRANKLIN,OYSTERS,9706,490,7.6,73801
2018,LEVY,OYSTERS,41548,635,4.72,196105
2018,ST JOHNS,OYSTERS,1454,43,5.87,8535
2018,VOLUSIA,OYSTERS,20,1,6.1,120